ID,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine(cc),Power(bhp),Seats,Price(in 10000$)
497,Maruti Zen LXi BSII,2004,29000,Petrol,Manual,First,17.3 kmpl,993,60,5,1.6
498,Maruti SX4 ZXI MT BSIV,2013,66012,Petrol,Manual,First,15.5 kmpl,1586,103.3,5,4.15
499,Honda Brio VX AT,2014,35000,Petrol,Automatic,First,16.5 kmpl,1198,86.8,5,4.25
500,Maruti Wagon R VXI,2011,75000,Petrol,Manual,First,18.9 kmpl,998,67.1,5,2.6
501,Toyota Camry A/T,2008,80000,Petrol,Automatic,Second,12.1 kmpl,2362,164.7,5,3.43
502,Chevrolet Beat LS,2012,32717,Petrol,Manual,First,18.6 kmpl,1199,79.4,5,2.55
503,Toyota Fortuner 4x4 AT,2017,25000,Diesel,Automatic,First,12.55 kmpl,2982,168.5,7,32
504,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,79000,Diesel,Manual,First,22.7 kmpl,1498,89.84,5,6.25
505,Maruti Swift Vdi BSIII,2010,86000,Diesel,Manual,Second,17.8 kmpl,1248,75,5,3.6
506,Mercedes-Benz S Class 2005 2013 S 350 CDI,2010,137000,Diesel,Automatic,First,13.5 kmpl,2987,282,5,18.5
507,Honda Mobilio S i VTEC,2015,25000,Petrol,Manual,Second,17.3 kmpl,1497,117.3,7,4.25
508,Hyundai Grand i10 Sportz,2017,8500,Petrol,Manual,Second,18.9 kmpl,1197,82,5,4.8
509,Mahindra XUV500 AT W8 FWD,2015,34000,Diesel,Automatic,First,16.0 kmpl,2179,140,7,13
510,Skoda Fabia 1.6 MPI Elegance,2012,41629,Petrol,Manual,Second,14.83 kmpl,1598,105,5,2.25
511,Hyundai Santro Xing GLS,2009,80227,Petrol,Manual,First,17.92 kmpl,1086,62.1,5,2.3
512,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2019,8587,Petrol,Manual,First,15.29 kmpl,1591,121.3,5,13.56
513,Mahindra Scorpio 1.99 S8,2017,30000,Diesel,Manual,First,15.4 kmpl,1997,120,7,12.25
514,Skoda Rapid 1.6 TDI Ambition,2013,64186,Diesel,Manual,First,20.5 kmpl,1598,103.5,5,3.76
515,Renault Duster 110PS Diesel RxZ,2015,76427,Diesel,Manual,First,19.01 kmpl,1461,108.45,5,8.58
516,BMW X5 xDrive 30d,2011,75000,Diesel,Automatic,First,11.7 kmpl,2993,245,5,27.5
517,Toyota Etios G,2013,27075,Petrol,Manual,First,17.6 kmpl,1496,88.73,5,4.95
518,Maruti Wagon R LXI,2012,30000,Petrol,Manual,First,22.5 kmpl,998,67.04,5,3.3
519,Hyundai Creta 1.6 SX,2016,69434,Petrol,Manual,First,15.8 kmpl,1591,121.3,5,8
520,Maruti Celerio VXI,2014,56000,Petrol,Manual,First,23.1 kmpl,998,67.04,5,2.79
521,Land Rover Range Rover HSE Dynamic,2017,49275,Diesel,Automatic,First,12.7 kmpl,2179,187.7,5,45.64
522,Chevrolet Beat LT,2014,8700,Petrol,Manual,First,18.6 kmpl,1199,76.8,5,2.55
523,Tata Nano Twist XT,2014,18000,Petrol,Manual,Second,25.4 kmpl,624,37.5,4,1
524,Audi A6 2011-2015 35 TDI Technology,2017,41041,Diesel,Automatic,First,17.68 kmpl,1968,174.33,5,37.56
525,Mercedes-Benz E-Class 280 CDI,2009,80464,Diesel,Automatic,Second,11.0 kmpl,2987,198.5,5,9.29
526,Maruti Swift VXI,2019,20667,Petrol,Manual,First,22.0 kmpl,1197,81.8,5,6.37
527,Fiat Linea T Jet,2013,60283,Petrol,Manual,First,14.6 kmpl,1368,112,5,2.98
528,Maruti Swift VXI Optional,2017,31696,Petrol,Manual,First,20.4 kmpl,1197,81.8,5,5.75
529,Toyota Fortuner 3.0 Diesel,2010,100000,Diesel,Manual,First,11.5 kmpl,2982,171,7,13
530,Maruti Ertiga ZXI,2014,13361,Petrol,Manual,First,16.02 kmpl,1373,93.7,7,6.8
531,BMW 3 Series 320i Sedan,2010,48394,Petrol,Automatic,First,12.05 kmpl,1995,154,5,10.49
532,Maruti Ertiga VXI,2014,47399,Petrol,Manual,First,16.02 kmpl,1373,93.7,7,5.6
533,Honda City 1.5 V AT,2010,69000,Petrol,Automatic,Second,16.8 kmpl,1497,118,5,2.85
534,Hyundai Santa Fe 4X4,2013,65278,Diesel,Manual,First,14.66 kmpl,2199,194.3,7,8.36
535,Tata Indigo LS,2005,108000,Diesel,Manual,First,17.0 kmpl,1405,70,5,1
536,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,2010,50645,Petrol,Automatic,Second,10.93 kmpl,2497,204,5,10.75
537,Maruti Swift Dzire LDi,2011,130002,Diesel,Manual,First,19.3 kmpl,1248,73.9,5,3.85
538,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,107000,Diesel,Manual,First,17.8 kmpl,1399,67,5,3
539,Honda City i VTEC CVT VX,2015,41950,Petrol,Automatic,First,18.0 kmpl,1497,117.3,5,9.6
540,Toyota Fortuner 4x2 Manual,2012,109000,Diesel,Manual,First,13.0 kmpl,2982,168.5,7,13.25
541,Honda Amaze VX O i VTEC,2016,9000,Petrol,Manual,First,18.0 kmpl,1198,86.7,5,5.75
542,Hyundai i20 Asta 1.4 CRDi,2014,43900,Diesel,Manual,First,22.54 kmpl,1396,88.73,5,6.75
543,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,64000,Diesel,Manual,Second,18.2 kmpl,1248,73.8,7,4.85
544,Mercedes-Benz New C-Class Progressive C 200,2019,13190,Petrol,Automatic,First,0.0 kmpl,1950,181.43,5,38.99
545,Maruti SX4 ZXI AT Leather,2009,77652,Petrol,Automatic,First,12.6 kmpl,1586,103.2,5,2.85
546,Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,55000,Diesel,Manual,First,12.99 kmpl,2494,100,7,9.51
547,BMW 5 Series 2003-2012 520d,2012,59900,Diesel,Automatic,Second,18.48 kmpl,1995,177,5,18.5
548,Renault Duster 110PS Diesel RxZ,2015,73539,Diesel,Manual,First,19.01 kmpl,1461,108.45,5,6.75
549,BMW X1 sDrive 20d xLine,2017,31645,Diesel,Automatic,First,20.68 kmpl,1995,190,5,29.4
550,Honda City ZX GXi,2009,69690,Petrol,Manual,First,17.7 kmpl,1497,78,5,3.29
551,Maruti Ciaz RS ZDi Plus SHVS,2016,41000,Diesel,Manual,First,28.09 kmpl,1248,88.5,5,9.5
552,Maruti Swift Dzire VXi,2010,109200,Petrol,Manual,Second,17.5 kmpl,1298,85.8,5,2.2
553,Mahindra XUV500 W6 2WD,2012,80000,Diesel,Manual,First,15.1 kmpl,2179,140,7,6.5
554,Honda Civic 2006-2010 1.8 S MT,2007,51000,Petrol,Manual,First,13.5 kmpl,1799,130,5,4.9
555,Maruti Ertiga ZDI,2013,105000,Diesel,Manual,Second,25.47 kmpl,1248,88.5,7,6.75
556,Toyota Etios Liva GD,2013,179000,Diesel,Manual,First,23.59 kmpl,1364,67.04,5,3.8
557,Audi TT 2.0 TFSI,2013,12100,Petrol,Automatic,First,9.9 kmpl,1984,207.8,2,29.5
558,Skoda Rapid 1.5 TDI Style,2017,31000,Diesel,Manual,First,21.13 kmpl,1498,108.4,5,10.5
559,Volkswagen Polo 1.5 TDI Highline,2015,50000,Diesel,Manual,First,20.14 kmpl,1498,88.8,5,6.2
560,Skoda Laura 1.9 TDI AT Elegance,2009,48000,Diesel,Automatic,First,17.0 kmpl,1896,105,5,5
561,Mahindra Renault Logan 1.5 DLE Diesel,2007,35000,Diesel,Manual,First,19.2 kmpl,1461,65,5,2.3
562,Toyota Innova Crysta 2.8 GX AT,2016,100200,Diesel,Automatic,First,11.36 kmpl,2755,171.5,7,17
563,BMW 3 Series 320d Luxury Line,2014,47000,Diesel,Automatic,First,18.88 kmpl,1995,184,5,25.5
564,Honda Jazz 1.5 S i DTEC,2015,63642,Diesel,Manual,First,27.3 kmpl,1498,98.6,5,5.65
565,Honda Amaze VX i-DTEC,2015,62550,Diesel,Manual,First,25.8 kmpl,1498,98.6,5,5.6
566,Jaguar XF 2.2 Litre Luxury,2015,37340,Diesel,Automatic,First,16.36 kmpl,2179,187.7,5,29.98
567,Maruti Swift Dzire VDI,2016,38461,Diesel,Manual,First,26.59 kmpl,1248,74,5,7.39
568,Jeep Compass 2.0 Limited,2018,29000,Diesel,Manual,First,17.1 kmpl,1956,170,5,19
569,Toyota Corolla Altis 1.8 Sport,2010,31000,Petrol,Manual,First,12.5 kmpl,1794,132,5,5
570,Honda City 1.5 V MT,2011,42086,Petrol,Manual,First,17.0 kmpl,1497,118,5,3.35
571,Maruti Swift ZXI,2013,49000,Petrol,Manual,First,18.6 kmpl,1197,85.8,5,4.45
572,Hyundai Verna 1.6 SX CRDI (O) AT,2019,77240,Diesel,Automatic,First,22.32 kmpl,1582,126.32,5,8.31
573,Mahindra Bolero ZLX,2012,105000,Diesel,Manual,Second,15.96 kmpl,2523,62.1,7,6
574,Maruti Swift VDI,2014,35000,Diesel,Manual,First,22.9 kmpl,1248,74,5,5.25
575,Hyundai Santro Xing XO,2006,83072,Petrol,Manual,First,17.0 kmpl,1086,null ,5,1.4
576,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,202082,Diesel,Automatic,First,17.68 kmpl,1968,174.33,5,12.3
577,Ford Ikon 1.3 LXi NXt,2004,129000,Petrol,Manual,Third,13.8 kmpl,1299,70,5,1.5
578,Volkswagen Polo 1.5 TDI Highline,2018,33558,Diesel,Manual,First,20.14 kmpl,1498,88,5,8.12
579,Mahindra Bolero VLX CRDe,2012,60271,Diesel,Manual,First,13.6 kmpl,2523,63,7,6.12
580,Honda City i DTEC VX Option,2017,45366,Diesel,Manual,First,25.1 kmpl,1498,98.6,5,10.88
581,Chevrolet Sail Hatchback 1.2 LS,2014,9500,Petrol,Manual,First,18.2 kmpl,1199,82.5,5,3.5
582,Hyundai i20 1.2 Spotz,2016,42362,Petrol,Manual,First,18.6 kmpl,1197,81.83,5,6.15
583,BMW X1 sDrive 20d Sportline,2016,21000,Diesel,Automatic,First,17.05 kmpl,1995,184,5,33
584,BMW X1 sDrive 20d Exclusive,2012,15200,Diesel,Automatic,First,15.06 kmpl,1995,177,5,13.5
585,Toyota Fortuner 4x2 AT,2015,43690,Diesel,Automatic,First,12.55 kmpl,2982,168.5,7,17.11
586,Audi Q7 4.2 TDI Quattro Technology,2014,79926,Diesel,Automatic,First,11.33 kmpl,4134,335.2,7,29.77
587,Maruti Ertiga VDI,2013,53073,Diesel,Manual,First,20.77 kmpl,1248,88.76,7,5.95
588,Hyundai i20 1.2 Magna,2015,59000,Petrol,Manual,First,18.5 kmpl,1197,80,5,5.75
589,Mercedes-Benz S Class 2005 2013 S 350 L,2006,47088,Petrol,Automatic,Second,10.13 kmpl,3498,364.9,5,19
590,Renault Duster 85PS Diesel RxL,2014,55000,Diesel,Manual,First,20.45 kmpl,1461,83.8,5,4.75
591,Mahindra Quanto C2,2013,80430,Diesel,Manual,Second,17.21 kmpl,1493,100,7,3.3
592,Toyota Fortuner 4x2 AT,2013,71932,Diesel,Automatic,First,12.55 kmpl,2982,168.5,7,16.5
593,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,19000,Diesel,Automatic,First,15.97 kmpl,2993,258,7,44
594,Maruti Swift Dzire VDi,2011,81759,Diesel,Manual,First,19.3 kmpl,1248,73.9,5,4.39
595,Maruti Swift LDI Optional,2018,52010,Diesel,Manual,First,25.2 kmpl,1248,74,5,6.2
596,Audi A6 2011-2015 35 TFSI Technology,2016,58953,Petrol,Automatic,First,13.53 kmpl,1984,177.01,5,24.22
597,Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,2008,93000,Diesel,Manual,Third,10.5 kmpl,2835,107.2,6,5.45
598,Jaguar XF 2.2 Litre Executive,2016,10000,Diesel,Automatic,First,16.36 kmpl,2179,187.7,5,44
599,Toyota Innova Crysta 2.8 ZX AT,2019,40674,Diesel,Automatic,First,11.36 kmpl,2755,171.5,7,24.82
600,Skoda Octavia Ambition 2.0 TDI AT,2015,50000,Diesel,Automatic,First,19.3 kmpl,1968,141,5,11.69
601,Toyota Corolla Altis VL AT,2018,1331,Petrol,Automatic,First,14.28 kmpl,1798,138.03,5,20
602,Maruti Omni 8 Seater BSII,2010,60000,Petrol,Manual,First,19.7 kmpl,796,35,8,1.45
603,Mercedes-Benz GLC 220d 4MATIC Style,2018,10003,Diesel,Automatic,First,17.9 kmpl,2143,170,5,48.5
604,Volkswagen Vento 1.5 TDI Highline AT,2016,25000,Diesel,Automatic,First,21.5 kmpl,1498,108.5,5,9.45
605,Mahindra XUV500 W10 2WD,2015,73000,Diesel,Manual,First,16.0 kmpl,2179,140,7,12.5
606,Nissan Terrano XL 85 PS,2014,59962,Diesel,Manual,First,20.45 kmpl,1461,83.8,5,6.9
607,Hyundai Verna 1.6 SX CRDi (O),2012,72000,Diesel,Manual,Second,22.32 kmpl,1582,126.32,5,5.8
608,BMW 5 Series 2013-2017 530d M Sport,2016,20967,Diesel,Automatic,First,14.69 kmpl,2993,258,5,44.56
609,Mahindra Scorpio S4 Plus,2015,35000,Diesel,Manual,Second,15.4 kmpl,2179,120,7,8.5
610,Hyundai Verna 1.6 CRDi SX,2017,38056,Diesel,Manual,First,23.9 kmpl,1582,126.2,5,10.7
611,Audi Q7 3.0 TDI Quattro Premium Plus,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967,241.4,7,12
612,Chevrolet Aveo U-VA 1.2 LT,2010,64236,Petrol,Manual,First,14.7 kmpl,1150,76,5,2.44
613,Mahindra Bolero ZLX BSIII,2000,124000,Diesel,Manual,First,13.6 kmpl,2523,63,7,1.95
614,Hyundai Xcent 1.2 Kappa S,2014,7400,Petrol,Manual,First,19.1 kmpl,1197,82,5,4.35
615,Toyota Innova Crysta 2.4 GX MT 8S,2017,52000,Diesel,Manual,First,13.68 kmpl,2393,147.8,8,17.5
616,Hyundai EON Era Plus,2015,68764,Petrol,Manual,First,21.1 kmpl,814,55.2,5,2.9
617,Volkswagen Polo Diesel Comfortline 1.2L,2013,64000,Diesel,Manual,First,22.07 kmpl,1199,73.9,5,2.9
618,Maruti Vitara Brezza ZDi,2016,21558,Diesel,Manual,First,24.3 kmpl,1248,88.5,5,8.9
619,BMW 3 Series 320d Prestige,2013,37500,Diesel,Automatic,First,18.88 kmpl,1995,184,5,16.75
620,Hyundai EON Sportz,2016,14077,Petrol,Manual,First,21.1 kmpl,814,55.2,5,3.95
621,Honda City 1.5 S MT,2009,70000,Petrol,Manual,First,17.0 kmpl,1497,118,5,2.1
622,Honda Accord 2.4 MT,2011,54316,Petrol,Manual,Second,12.8 kmpl,2354,177.6,5,4.29
623,Mahindra Xylo E8,2009,90764,Diesel,Manual,First,14.0 kmpl,2498,112,8,3.85
624,BMW 3 Series 320d,2009,137000,Diesel,Automatic,Second,13.2 kmpl,1995,170,5,9
625,Honda City V MT,2013,127000,Petrol,Manual,Second,16.8 kmpl,1497,116.3,5,4.5
626,Mahindra XUV500 W10 2WD,2016,51884,Diesel,Manual,First,16.0 kmpl,2179,140,7,12.46
627,Hyundai i20 Asta 1.4 CRDi,2014,67407,Diesel,Manual,First,21.27 kmpl,1396,88.76,5,4.65
628,Toyota Fortuner 4x2 Manual,2014,107825,Diesel,Manual,First,13.0 kmpl,2982,168.5,7,20.5
629,Mahindra Bolero DI BSII,2006,82453,Diesel,Manual,First,13.6 kmpl,2523,63,8,2.9
630,Maruti Esteem Vxi - BSIII,2007,30441,Petrol,Manual,First,15.9 kmpl,1298,85,5,1.45
631,Hyundai Santro LS zipPlus,2002,70000,Petrol,Manual,Third,0.0 kmpl,1086,null ,5,0.65
632,Mini Cooper 5 DOOR D,2016,11000,Diesel,Automatic,First,20.7 kmpl,1496,113.98,5,29.5
633,Audi Q3 35 TDI Quattro Premium,2015,61000,Diesel,Automatic,First,15.73 kmpl,1968,174.33,5,25
634,Hyundai i20 Sportz Option,2013,48454,Petrol,Manual,Second,17.0 kmpl,1197,80,5,3.5
635,Tata Safari Storme VX Varicor 400,2017,37000,Diesel,Manual,First,14.1 kmpl,2179,154,7,11.25
636,Honda BR-V i-DTEC VX MT,2017,32249,Diesel,Manual,First,21.9 kmpl,1498,98.6,7,10.79
637,Volkswagen Jetta 2013-2015 2.0L TDI Highline,2013,58000,Diesel,Manual,First,19.33 kmpl,1968,138.03,5,5.9
638,Hyundai Xcent 1.2 Kappa S Option,2017,28360,Petrol,Manual,First,19.1 kmpl,1197,81.86,5,5.12
639,Maruti Ignis 1.2 Alpha,2017,7000,Petrol,Manual,First,20.89 kmpl,1197,81.8,5,5.7
640,BMW 5 Series 2013-2017 520d Luxury Line,2016,19658,Diesel,Automatic,First,18.12 kmpl,1995,190,5,35.84
641,Ford Ikon 1.3 CLXi,2007,92000,Petrol,Manual,First,13.8 kmpl,1299,70,5,1.25
642,Hyundai i10 Sportz,2013,25000,Petrol,Manual,First,20.36 kmpl,1197,78.9,5,2.65
643,Hyundai Verna 1.6 CRDI,2016,37882,Diesel,Manual,First,22.32 kmpl,1582,126.3,5,9.19
644,BMW 3 Series 320d Highline,2014,69330,Diesel,Automatic,First,16.07 kmpl,1995,181,5,23.5
645,Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,2011,61000,Petrol,Automatic,First,12.3 kmpl,1796,185,5,12.5
646,Chevrolet Beat Option Pack,2010,35000,Petrol,Manual,Second,18.6 kmpl,1199,79.4,5,1.5
647,Hyundai Santro Xing XP,2004,200000,Petrol,Manual,First,0.0 kmpl,1086,null ,5,0.8
648,Tata Indica DLS,2009,82000,Diesel,Manual,Second,13.5 kmpl,1405,null ,5,0.75
649,Mahindra XUV500 W8 2WD,2012,72450,Diesel,Manual,First,15.1 kmpl,2179,140,7,8.1
650,Maruti Ciaz ZDi Plus SHVS,2017,36381,Diesel,Manual,First,28.09 kmpl,1248,88.5,5,9.75
651,Mercedes-Benz New C-Class C 250 CDI Avantgarde,2017,25559,Diesel,Automatic,First,19.71 kmpl,2143,201.15,5,37.93
652,Honda City ZX CVT,2005,100000,Petrol,Automatic,Third,16.4 kmpl,1497,78,5,1.96
653,Toyota Fortuner 4x2 4 Speed AT,2015,94000,Diesel,Automatic,First,11.5 kmpl,2982,169,7,20.5
654,Maruti Alto K10 VXI,2011,64357,Petrol,Manual,First,24.07 kmpl,998,67.1,5,2.75
655,Jaguar XJ 2.0L Portfolio,2017,10501,Petrol,Automatic,First,9.43 kmpl,1999,237.4,5,75
656,Hyundai i20 1.4 Magna ABS,2009,47000,Diesel,Manual,First,21.9 kmpl,1396,90,5,2.8
657,Honda BRV i-VTEC V CVT,2017,18000,Petrol,Automatic,First,16.0 kmpl,1497,117.3,7,9.25
658,Toyota Corolla Executive (HE),2007,89000,Petrol,Manual,First,13.4 kmpl,1794,125,5,3
659,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,49964,Diesel,Automatic,First,17.68 kmpl,1968,174.33,5,23.89
660,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,2014,35000,Diesel,Manual,First,12.99 kmpl,2494,100.6,7,12.75
661,Hyundai Grand i10 CRDi Sportz,2014,64000,Diesel,Manual,First,24.0 kmpl,1120,70,5,4.15
662,Volkswagen Vento IPL II Petrol Highline AT,2013,36000,Petrol,Automatic,First,14.8 kmpl,1598,105,5,4.65
663,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,2012,78600,Diesel,Manual,First,12.8 kmpl,2494,102,7,8.9
664,Hyundai Verna CRDi SX,2008,170000,Diesel,Manual,Second,16.8 kmpl,1493,110,5,1.5
665,Maruti Ritz VDi,2015,65000,Diesel,Manual,Second,23.2 kmpl,1248,73.94,5,3.27
666,Audi Q7 3.0 TDI Quattro Technology,2008,120300,Diesel,Automatic,Second,12.07 kmpl,2967,241.4,7,18
667,Hyundai i20 Asta Option 1.2,2016,21000,Petrol,Manual,First,18.6 kmpl,1197,81.83,5,6.3
668,Maruti Vitara Brezza ZDi Plus Dual Tone,2017,18108,Diesel,Manual,First,24.3 kmpl,1248,88.5,5,11.31
669,Honda City i VTEC S,2014,58407,Petrol,Manual,First,17.4 kmpl,1497,117.3,5,6.16
670,Maruti Ciaz ZXi,2014,49500,Petrol,Manual,First,20.73 kmpl,1373,91.1,5,6
671,Nissan Sunny XV CVT,2013,37199,Petrol,Automatic,First,17.5 kmpl,1498,99.6,5,5.43
672,Volkswagen Polo Diesel Highline 1.2L,2012,62000,Diesel,Manual,First,22.07 kmpl,1199,73.9,5,4.65
673,Maruti Ertiga ZDI,2015,59000,Diesel,Manual,First,20.77 kmpl,1248,88.8,7,7.5
674,Maruti Swift Dzire VDI,2015,60000,Diesel,Manual,First,26.59 kmpl,1248,74,5,6.25
675,Mercedes-Benz New C-Class C 220 CDI Elegance AT,2007,39037,Diesel,Automatic,First,14.84 kmpl,2143,170,5,9.25
676,Honda Brio S MT,2013,17003,Petrol,Manual,First,19.4 kmpl,1198,86.8,5,3.15
677,Hyundai i10 Magna Optional 1.1L,2008,80400,Petrol,Manual,First,16.0 kmpl,1086,66.7,5,2.3
678,Hyundai Verna 1.6 SX CRDi (O),2012,75200,Diesel,Manual,First,22.32 kmpl,1582,126.32,5,5.25
679,Maruti Ciaz VDI SHVS,2017,41217,Diesel,Manual,First,28.09 kmpl,1248,88.5,5,7.4
680,Ford Ikon 1.3 Flair,2006,98293,Petrol,Manual,Second,13.8 kmpl,1299,70,5,1.55
681,Volkswagen Polo 1.2 MPI Highline,2017,54000,Petrol,Manual,Second,16.2 kmpl,1199,74,5,6
682,Honda Jazz 1.2 V i VTEC,2016,17377,Petrol,Manual,First,18.7 kmpl,1199,88.7,5,5.9
683,Honda Amaze EX i-Dtech,2013,33800,Diesel,Manual,Second,25.8 kmpl,1498,98.6,5,4.7
684,Hyundai i20 Asta 1.4 CRDi,2015,86157,Diesel,Manual,First,22.54 kmpl,1396,88.73,5,6.5
685,Maruti Ritz VDi,2012,146824,Diesel,Manual,First,21.1 kmpl,1248,73.9,5,3.55
686,Honda City V MT,2014,55000,Petrol,Manual,First,16.8 kmpl,1497,116.3,5,7.1
687,Skoda Superb 1.8 TSI MT,2010,53293,Petrol,Manual,First,13.14 kmpl,1798,160,5,6
688,Maruti Vitara Brezza LDi Option,2017,38000,Diesel,Manual,First,24.3 kmpl,1248,88.5,5,7.99
689,Hyundai i20 Asta,2009,64000,Petrol,Manual,Second,17.0 kmpl,1197,80,5,4.1
690,Maruti Alto K10 VXI AGS,2017,25058,Petrol,Automatic,First,24.07 kmpl,998,67.1,5,3.95
691,Hyundai EON Era Plus,2016,36700,Petrol,Manual,First,21.1 kmpl,814,55.2,5,4.38
692,Hyundai i10 Sportz,2011,35000,Petrol,Manual,First,20.36 kmpl,1197,78.9,5,2.75
693,Mercedes-Benz SLK-Class SLK 350,2016,22732,Petrol,Automatic,First,18.1 kmpl,3498,306,2,55.54
694,Audi A6 2.0 TDI Design Edition,2014,48000,Diesel,Automatic,First,18.53 kmpl,1968,187.74,5,29
695,Ford EcoSport 1.5 TDCi Titanium,2013,62084,Diesel,Manual,First,22.77 kmpl,1498,98.59,5,6.6
696,Volkswagen Passat Highline DSG,2012,39273,Diesel,Automatic,First,14.3 kmpl,1968,140,5,6.99
697,Toyota Innova Crysta 2.4 ZX MT,2017,64798,Diesel,Manual,First,13.68 kmpl,2393,147.8,7,18.75
698,Ford Figo Diesel ZXI,2010,100002,Diesel,Manual,Third,20.0 kmpl,1399,68,5,1.28
699,Chevrolet Aveo 1.4,2006,78000,Petrol,Manual,Third,14.49 kmpl,1399,92.7,5,1.2
700,Maruti Ritz LXi,2013,57717,Petrol,Manual,First,18.5 kmpl,1197,85.8,5,4.31
701,Land Rover Freelander 2 SE,2011,109000,Diesel,Automatic,First,12.39 kmpl,2179,147.51,5,16.5
702,Hyundai Grand i10 Asta,2017,74515,Petrol,Manual,First,18.9 kmpl,1197,82,5,5.64
703,Ford Endeavour 3.2 Trend AT 4X4,2017,50484,Diesel,Automatic,First,10.91 kmpl,3198,197.2,7,31.12
704,Audi Q5 2008-2012 2.0 TDI,2013,13452,Diesel,Automatic,First,12.8 kmpl,1968,167.6,5,25.46
705,Hyundai Verna 1.6 VTVT,2017,37688,Petrol,Manual,First,17.01 kmpl,1591,121.3,5,7.88
706,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2017,34000,Diesel,Automatic,First,13.0 kmpl,2143,204,5,36
707,Mercedes-Benz M-Class ML 350 4Matic,2014,120000,Diesel,Automatic,First,0.0 kmpl,2987,165,5,30
708,Maruti Swift Dzire ZXi,2008,64000,Petrol,Manual,Second,17.5 kmpl,1298,85.8,5,2.85
709,Honda City 1.3 EXI S,2011,100000,Petrol,Manual,First,13.0 kmpl,1343,90,5,3.5
710,Renault Duster 85PS Diesel RxL Optional,2014,75000,Diesel,Manual,First,20.46 kmpl,1461,83.8,5,7.5
711,Mercedes-Benz New C-Class 220 CDI AT,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143,170,5,19
712,BMW X5 xDrive 30d Design Pure Experience 5 Seater,2015,69000,Diesel,Automatic,First,15.97 kmpl,2993,258,5,54
713,Hyundai Xcent 1.2 Kappa SX Option,2015,41721,Petrol,Manual,First,19.1 kmpl,1197,82,5,4.7
714,Maruti Dzire AMT ZXI Plus,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197,81.8,5,8.5
715,BMW 3 Series 320d Corporate Edition,2013,38998,Diesel,Automatic,First,16.07 kmpl,1995,181,4,17
716,Maruti Alto 800 LXI,2017,54250,Petrol,Manual,First,22.74 kmpl,796,47.3,5,3.51
717,Audi A4 2.0 TDI 177  Premium Plus,2013,45979,Diesel,Automatic,Second,17.11 kmpl,1968,174.33,5,19.5
718,Mini Cooper S,2012,37000,Petrol,Automatic,Second,13.6 kmpl,1598,181,4,17
719,Audi Q7 3.0 TDI Quattro Premium Plus,2015,46983,Diesel,Automatic,Second,12.07 kmpl,2967,241.4,7,43.35
720,Chevrolet Beat Diesel LT,2012,40700,Diesel,Manual,First,25.44 kmpl,936,57.6,5,2.65
721,Maruti Wagon R LXI BS IV,2015,43828,Petrol,Manual,First,20.51 kmpl,998,67.04,5,3.52
722,Nissan Terrano XV Premium 110 PS,2016,53000,Diesel,Manual,First,19.01 kmpl,1461,108.5,5,6.25
723,BMW 3 Series 320d Luxury Plus,2015,100000,Diesel,Automatic,First,18.88 kmpl,1995,184,5,24.75
724,Maruti Swift Dzire VXI,2015,19000,Petrol,Manual,First,20.85 kmpl,1197,83.14,5,5.25
725,Skoda Yeti Elegance 4X2,2016,84000,Diesel,Manual,First,17.72 kmpl,1968,108.5,5,11
726,Ford EcoSport 1.5 Ti VCT AT Titanium,2018,37630,Petrol,Automatic,First,15.63 kmpl,1499,110.4,5,9.1
727,Hyundai i20 1.2 Magna,2010,67714,Petrol,Manual,First,18.5 kmpl,1197,80,5,3.25
728,Maruti S Cross DDiS 200 Sigma Option,2017,32000,Diesel,Manual,First,15.0 kmpl,1248,88.5,5,8.5
729,Hyundai Verna Transform VTVT,2010,51000,Petrol,Manual,First,16.2 kmpl,1599,103.2,5,3.1
730,BMW 3 Series 320d Luxury Line,2015,58390,Diesel,Automatic,First,18.88 kmpl,1995,184,5,19.86
731,Hyundai Grand i10 1.2 CRDi Magna,2017,14000,Diesel,Manual,First,24.0 kmpl,1186,73.97,5,4.9
732,Honda City i-VTEC V,2014,55818,Petrol,Manual,Second,17.4 kmpl,1497,117.3,5,5.7
733,Maruti Swift 1.3 VXi,2006,97800,Petrol,Manual,Third,16.1 kmpl,90,90,90,1.75
734,Maruti Swift VDI BSIV,2012,52241,Diesel,Manual,First,25.2 kmpl,1248,74,5,2.9
